z,ra,dec,r,grModelColor
0.1188491,185.0987977,-1.1354864,17.03366,0.80431557
0.1066795,183.2105742,-1.50681116,17.49012,0.97356415
0.1190362,129.6977682,49.56841208,17.72628,0.96861458
0.1155638,131.5266794,50.84789375,16.57581,0.97916985
0.1062766,140.8497,56.62250776,16.16191,0.87769318
0.1122513,134.2187754,54.26132952,17.51037,1.03629875
0.1107526,256.406076,58.36193606,16.71725,0.75404549
0.1084843,257.5642599,60.48388083,16.81628,0.84482574
0.1050988,256.8747129,60.76957878,17.84279,1.30384636
0.1185718,259.9672337,55.82634463,17.08938,1.06853485
0.1032962,203.6806178,62.91419759,17.31959,1.01547813
0.1093498,198.3684859,-1.21120238,16.91002,1.0248394
0.1169446,184.7826977,0.14097937,16.98818,0.80134964
0.1039873,180.9633846,-3.07080956,20.84546,0.72296333
0.1111468,184.1477569,-3.10232215,16.72876,0.98398209
0.1086881,186.0693393,-2.9370429,16.48381,0.95214081
0.1139328,186.1936136,-3.0408421,17.5362,0.63703346
0.1147066,189.9762781,66.00300105,17.47821,0.96606636
0.1140995,116.5295388,37.64819426,17.44545,0.83314133
0.1158965,131.3631007,51.39786919,17.09142,0.98986053
0.1062269,133.5677692,54.60947555,16.92992,0.95608711
0.1151853,258.5542168,58.49792665,17.47663,1.01613045
0.1194053,259.2284211,60.01017987,17.36432,0.65656853
0.1178884,129.9139875,49.32103004,16.80842,1.06260109
0.1185964,131.2538099,50.35403545,16.75207,1.03473854
0.1169696,155.3240689,60.74270335,16.76053,0.97976494
0.1174466,130.1379375,50.21028142,16.39618,1.00319099
0.1029779,232.1299172,55.50503805,17.21792,0.91928101
0.1031233,56.13966243,1.04715181,17.95141,1.09144592
0.1091017,57.28921212,0.89108641,17.24931,0.72817802
0.1199736,244.1296757,-0.36101003,18.03954,1.02279472
0.1097519,200.880019,1.00248648,16.19456,1.01906776
0.1101857,201.5022678,0.97045043,16.96886,0.63824272
0.1080111,178.6529722,-3.53207519,16.77962,0.98849297
0.103618,186.0362381,-2.92042335,17.13246,1.00638008
0.1168778,157.9622417,61.84312212,17.48771,0.90606117
0.1091758,137.8794776,56.72253477,17.30951,0.66777992
0.1079146,256.8086706,60.23619942,17.12281,0.66125488
0.1176536,141.9901961,56.27122208,17.95215,1.05525017
0.1024902,228.5336178,56.00657752,17.70213,0.8610611
0.105235,56.13982434,1.03464424,18.3664,1.13589096
0.1147904,85.77973497,0.3094622,17.69212,1.08081627
0.1052944,242.0015962,1.07627361,16.9376,1.03768158
0.1094054,189.8196344,-1.20203441,17.7216,0.85453033
0.1001261,169.6184603,-0.55077313,16.96457,0.9527359
0.1013569,179.013677,-2.38163141,17.43352,0.72517586
0.1021415,188.9644678,66.12693076,17.52431,0.93645096
0.1044472,189.762874,66.03485482,15.43595,0.87905693
0.1027407,189.7829317,65.98886412,17.43223,0.87465858
0.1093522,132.6089063,54.10167464,17.57642,0.41320419
0.1177081,135.3697745,55.65943372,17.61883,1.04815865
0.1043824,138.1592283,55.04572649,16.98677,0.97468948
0.1176874,116.790837,38.25749869,17.01894,1.03123283
0.1183104,131.8343629,51.93996765,17.69284,1.00016594
0.1133296,133.4706863,52.90190682,16.70844,1.09712791
0.1062316,137.5423687,55.27634696,17.07944,0.89070511
0.1036077,210.238583,62.51597416,16.19605,1.02241516
0.1128572,216.7339741,61.19472534,16.75589,0.60677338
0.1146805,85.88496962,0.70981569,18.38691,1.08347702
0.110897,200.7533597,1.03391081,17.61492,1.0221405
0.1111752,183.5957046,-2.97069195,17.24209,0.88100052
0.1034891,138.153922,54.70551518,17.26258,0.63339233
0.119028,131.7822892,51.6210201,17.4448,0.60723495
0.1148563,130.8758999,51.65954946,16.87675,0.99395943
0.1169202,135.4497502,55.65692386,17.87362,1.01177788
0.110316,137.487936,56.69178994,16.78089,1.01956367
0.1070055,256.1598625,61.45504029,16.49347,1.02915192
0.1098409,231.7212999,54.60842147,17.3266,0.93721771
0.1175355,116.7222196,38.40562589,16.64636,0.73458099
0.1194065,184.5939046,0.16744767,16.63128,1.02471733
0.1031832,202.2812147,0.20229464,16.24926,0.96709633
0.1083606,200.9454771,0.89302839,17.23558,0.96968651
0.1112716,182.4553771,-1.47165939,16.01369,0.96773148
