z,ra,dec,r,grModelColor
0.4721953,134.0706399,0.95157727,20.04287,1.72842026
0.4953984,145.2248854,-2.72747896,20.34921,1.75908852
0.4992054,163.9528951,-3.01571583,19.83916,1.51625824
0.4623045,164.8221603,-3.01274391,19.92519,1.75917053
0.4997802,149.7764119,-2.39326969,19.21999,1.68068886
0.4078873,166.2108037,-2.69439831,18.92975,1.74219894
0.4819444,148.8294495,-1.98513507,20.56722,1.27084923
0.4770491,160.7826252,-2.19345196,20.78329,1.45116615
0.4545565,166.1295411,-2.19330868,18.85336,1.9740181
0.442002,164.9046782,-1.8972412,20.58728,1.54813385
0.4662342,164.0093677,-1.36998094,19.99151,1.36687469
0.410031,182.2176934,64.02822021,18.61369,1.7959938
0.4941938,188.2508203,65.64988537,19.91007,1.41201973
0.4993459,187.9943831,-0.78710671,20.45764,1.5594635
0.4475979,192.5087217,-0.64777798,19.83756,1.73914146
0.4593781,209.4931786,-0.75297773,19.77309,1.68359756
0.4185033,210.1113847,-0.7284944,19.52999,1.93634796
0.4459735,226.0800159,-0.82829514,20.71563,1.65568924
0.4571207,231.8560074,-0.65205469,20.6155,1.81802559
0.4063604,193.0232875,-0.40639686,19.22556,1.70463181
0.4383348,207.2201949,-0.25205612,19.41448,1.69843864
0.4510316,202.5580334,0.93641411,20.01693,1.59608269
0.4191898,222.3227034,0.8689952,20.16133,1.61349106
0.4718046,222.9862393,0.8869834,20.81818,1.84001732
0.4701418,145.9933272,-0.85625262,20.92538,1.56367874
0.4783222,161.6509441,-0.9961264,19.87839,2.42376518
0.4962031,162.1043525,-0.86023719,20.46259,1.83832359
0.4570883,163.5014817,-0.96509384,20.49776,1.41717529
0.4642472,229.3124634,-0.99604825,20.92975,1.15064621
0.4953309,125.876056,1.07190353,20.53211,1.498806
0.4648251,164.7458133,1.16288264,19.89794,2.00555801
0.4773419,167.1330487,1.10003053,19.58393,1.72246552
0.4372825,27.09513109,12.73455888,19.33617,1.96172905
0.4144199,161.2791136,-2.79880651,19.41121,1.77673912
0.4585588,162.1571654,-2.88043619,19.50041,1.69146919
0.4809652,168.2235178,-2.95024409,19.82734,1.6080246
0.4702569,164.2627346,-2.5129518,20.34173,1.7185936
0.4273296,167.2887595,-2.51573725,20.66006,1.70583725
0.4700794,169.7204469,-2.54974849,20.64731,1.68984413
0.4819381,161.4205178,-1.95053075,20.40475,1.89922523
0.427871,162.4819833,-2.05054238,19.0844,1.64635849
0.439633,166.765579,-2.02584081,20.16683,1.71858788
0.4983475,172.7488226,-2.02500361,19.9394,1.58481979
0.4867193,164.2496323,-1.54266993,20.37388,1.76292419
0.452674,168.6867942,-1.66555483,20.26654,1.93785667
0.4480397,179.2448001,-1.65716983,19.45599,1.78667259
0.4718466,192.90132,-1.80298301,20.07581,1.54141235
0.4521301,168.1172369,-1.28731355,20.56101,1.43770409
0.4163358,189.4407815,-1.41151215,19.47953,1.70778084
0.4303477,184.3894804,-3.55959445,19.08105,1.90795326
0.4668039,173.1888148,-2.81052942,19.75838,1.65419769
0.492471,179.7605657,-2.80492396,20.91932,1.81022072
0.4478204,176.7973873,-2.33441639,20.72082,1.61211967
0.4145726,197.8548326,-2.40314005,19.34213,1.75808907
