Throughput capacity [A.h],Loss of capacity to negative SEI [A.h],Loss of capacity to negative SEI on cracks [A.h],Loss of capacity to negative lithium plating [A.h],Total capacity lost to side reactions [A.h],All LLI (converted from mol) [A.h]
0.0275033669725866,0.000149244483891758,0.00227530191907827,0.00874670358006442,0.0111712499830345,0.011171258331437
0.0275033669725866,0.000152693946099202,0.00230186709539937,0.00874934497708839,0.011203906018587,0.0112039143561512
0.0275033669725866,0.000156140956733705,0.00232813757546227,0.00875195749625265,0.0112362360284486,0.0112362443552828
0.0275033669725866,0.00015958552081628,0.00235411503071792,0.00875455601079935,0.0112682565623335,0.0112682648785402
0.0275033669725866,0.000163027643489499,0.00237980603164584,0.00875714866024087,0.0112999823353762,0.011299990641052
0.0275033669725866,0.000166467330122523,0.00240522628122937,0.00875973103143523,0.0113314246427871,0.0113314329380248
0.0275033669725866,0.000169904585956495,0.00243038632292512,0.00876230580302567,0.0113625967119073,0.0113626049967979
0.0275033669725866,0.000173339416065271,0.00245529088868383,0.00876487842146579,0.0113935087262149,0.0113935170008424
0.0275033669725866,0.000176771825585758,0.00247994690065469,0.00876745329009675,0.0114241720163372,0.0114241802807858
0.0275033669725867,0.000176771825585758,0.00247994690065469,0.00876745329009674,0.0114241720163372,0.0114241802807858
0.0691700336392526,0.000180201785693148,0.00250436697164306,0.00716592784739084,0.00985049660472705,0.00985054206373881
0.110836700305919,0.000183629330166701,0.0025285513052073,0.00603473952332703,0.00874692015870103,0.008747007872858
0.152503366972586,0.000187054468212038,0.00255250658679441,0.00528078152070754,0.00802034257571398,0.00802047313348182
0.194170033639252,0.000190477205089272,0.00257623919615666,0.00479980249609594,0.00756651889734187,0.00756669268125126
0.235836700305917,0.000193897545881548,0.00259975523866409,0.00449543722085505,0.00728909000540069,0.00728930736921774
0.277503366972584,0.000197315495905018,0.00262306055393394,0.00433262157212686,0.00715299762196582,0.00715325863421818
0.319170033639251,0.000200731060257117,0.0026461606785418,0.00422839109674595,0.00707528283554486,0.00707558745986945
0.360836700305919,0.000204144243953059,0.00266906094856203,0.00414913884992661,0.0070223440424417,0.00702269222665575
0.402503366972587,0.00020755505195692,0.00269176646602107,0.0040862933676347,0.00698561488561269,0.00698600658099732
0.444170033639254,0.000210963488926376,0.00271428211978281,0.00405118254902702,0.0069764281577362,0.0069768635808733
0.485836700305921,0.000214369560310318,0.00273661258850786,0.00406108347116881,0.00701206561998698,0.00701254448911052
0.527503366972588,0.000217773270867332,0.00275876237422844,0.00406236165693974,0.0070388973020355,0.00703941950088134
0.569170033639251,0.000221174625422818,0.00278073578796122,0.00407250969585376,0.0070744201092378,0.00707498557488922
0.610836700305915,0.000224573628840185,0.00280253697839338,0.00407768757682897,0.00710479818406254,0.00710540686549321
0.652503366972579,0.000227970285986475,0.00282416993336933,0.00410847842744204,0.00716061864679785,0.00716127047965332
0.694170033639247,0.000231364601522414,0.0028456384869647,0.00413034430586166,0.00720734739434878,0.00720804247112535
0.735836700305914,0.000234756580894116,0.00286694633604956,0.0041646249249669,0.00726632784191058,0.00726706573643216
0.77750336697258,0.000238146228695026,0.00288809703159896,0.00419849578989259,0.00732473905018658,0.00732551952180995
0.819170033639248,0.000241533549713077,0.00290909400112234,0.00421707855655374,0.00736770610738916,0.0073685289304776
0.860836700305916,0.00024491854866097,0.00292994054704893,0.0042228464637057,0.0073977055594156,0.00739857056078614
0.902503366972585,0.000248301229907253,0.00295063986055028,0.0042266990595029,0.00742564014996044,0.00742654744846797
