Time [h],Voltage [V] (V_si=0.001),Voltage [V] (V_si=0.04),Voltage [V] (V_si=0.1)
1.64729,,3.20808,3.26097
1.65331,,3.20497,3.25882
1.65932,,3.20178,3.25672
1.66533,,3.19851,3.25465
1.67134,,3.19515,3.25261
1.67735,,3.19169,3.2506
1.68337,,3.18813,3.24861
1.68938,,3.18446,3.24665
1.69539,,3.18067,3.24469
1.7014,,3.17678,3.24276
1.70741,,3.17278,3.24083
1.71343,,3.16866,3.23891
1.71944,,3.16445,3.23699
1.72545,,3.16013,3.23508
1.73146,,3.15571,3.23316
1.73747,,3.1512,3.23124
1.74349,,3.1466,3.22932
1.7495,,3.14192,3.22738
1.75551,,3.13716,3.22544
1.76152,,3.13233,3.22349
1.76754,,3.12744,3.22153
1.77355,,3.12249,3.21955
1.77956,,3.11748,3.21756
1.78557,,3.11243,3.21555
1.79158,,3.10734,3.21353
1.7976,,3.10222,3.21148
1.80361,,3.09706,3.20942
1.80962,,3.09188,3.20733
1.81563,,3.08669,3.20523
1.82164,,3.08147,3.2031
1.82766,,3.07625,3.20095
1.83367,,3.07103,3.19878
1.83968,,3.0658,3.19659
1.84569,,3.06058,3.19437
1.8517,,3.05536,3.19213
1.85772,,3.05015,3.18986
1.86373,,3.04495,3.18757
1.86974,,3.03976,3.18526
1.87575,,3.03459,3.18292
1.88176,,3.02943,3.18055
1.88778,,3.02429,3.17817
1.89379,,3.01917,3.17576
1.8998,,3.01407,3.17332
1.90581,,3.00898,3.17086
1.91182,,3.0039,3.16838
1.91784,,2.99885,3.16587
1.92385,,2.9938,3.16334
1.92986,,2.98877,3.16078
1.93587,,2.98374,3.1582
1.94188,,2.97872,3.1556
1.9479,,2.9737,3.15298
1.95391,,2.96868,3.15033
1.95992,,2.96365,3.14767
1.96593,,2.95861,3.14498
1.97194,,2.95355,3.14227
1.97796,,2.94848,3.13954
1.98397,,2.94338,3.13679
1.98998,,2.93825,3.13402
1.99599,,2.93308,3.13124
2.002,,2.92787,3.12843
2.00802,,2.92261,3.1256
2.01403,,2.91729,3.12276
2.02004,,2.91191,3.1199
2.02605,,2.90646,3.11702
2.03206,,2.90094,3.11413
2.03808,,2.89534,3.11122
2.04409,,2.88965,3.1083
2.0501,,2.88387,3.10536
2.05611,,2.87798,3.1024
2.06212,,2.87199,3.09943
2.06814,,2.86587,3.09645
2.07415,,2.85964,3.09346
2.08016,,2.85328,3.09045
2.08617,,2.84678,3.08743
2.09218,,2.84013,3.0844
2.0982,,2.83333,3.08136
2.10421,,2.82637,3.0783
2.11022,,2.81924,3.07524
2.11623,,2.81193,3.07217
2.12224,,2.80443,3.06908
2.12826,,2.79674,3.06599
2.13427,,2.78884,3.06289
2.14028,,2.78071,3.05978
2.14629,,2.77236,3.05666
2.1523,,2.76375,3.05353
2.15832,,2.75488,3.0504
2.16433,,2.74573,3.04726
2.17034,,2.7363,3.04411
2.17635,,2.72656,3.04095
2.18236,,2.7165,3.03779
2.18838,,2.7061,3.03462
2.19439,,2.69534,3.03144
2.2004,,2.6842,3.02825
2.20641,,2.67264,3.02506
2.21242,,2.66061,3.02186
2.21844,,2.64807,3.01865
2.22445,,2.63497,3.01543
2.23046,,2.62127,3.01221
2.23647,,2.60695,3.00897
2.24248,,2.59197,3.00573
2.2485,,2.57629,3.00248
2.25451,,2.55985,2.99921
2.26052,,2.54258,2.99594
2.26653,,2.52442,2.99265
2.27255,,2.50528,2.98935
2.27414,,2.50001,
2.27856,,,2.98603
2.28457,,,2.9827
2.29058,,,2.97935
2.29659,,,2.97597
2.30261,,,2.97257
2.30862,,,2.96914
2.31463,,,2.96568
2.32064,,,2.96218
2.32665,,,2.95864
2.33267,,,2.95505
2.33868,,,2.9514
2.34469,,,2.94767
2.3507,,,2.94386
2.35671,,,2.93995
2.36273,,,2.93591
2.36874,,,2.9317
2.37475,,,2.92729
2.38076,,,2.9226
2.38677,,,2.91753
2.39279,,,2.91194
2.3988,,,2.90555
2.40481,,,2.89787
2.41082,,,2.88776
2.41683,,,2.87186
2.42285,,,2.82204
2.42389,,,2.70208
2.42394,,,2.50001
