Time [s],Loss of capacity to negative SEI [A.h],Loss of capacity to positive SEI [A.h],Loss of capacity to positive SEI on cracks [A.h],Loss of capacity to positive lithium plating [A.h]
254438.65912230028,0.0026537390767465913,0.0015649432783914879,0.0029972839535061745,8.51091206528023e-05
254498.65912230028,0.0026544262535769226,0.0015649432798633877,0.002997283956290935,8.510912064821505e-05
254558.65912230028,0.002655113430081674,0.0015649432800470871,0.002997283956638483,8.51091206480664e-05
254618.65912230028,0.002655800597123867,0.0015649432800658386,0.0029972839566739604,8.510912062700045e-05
254659.33942964362,0.0026562664983369594,0.0015649432800679671,0.0029972839566779876,8.510912064806858e-05
254659.33942964365,0.0026562664983369594,0.0015649432800679671,0.0029972839566779876,8.510912064806858e-05
254719.33942964362,0.002656824254017198,0.0015649432828038577,0.0029972839619449346,8.510912071067728e-05
254779.33942964362,0.0026573827692203534,0.0015649433148927855,0.002997284023720032,8.510912311025704e-05
254839.33942964362,0.002657941293844302,0.0015649434594038449,0.0029972843019246834,8.510914527869374e-05
254899.33942964362,0.0026584998158884583,0.0015649437550986278,0.0029972848711692034,8.510922883617351e-05
254959.33942964362,0.0026590583502601713,0.0015649444635278927,0.0029972862349823145,8.510962479499297e-05
255019.33942964362,0.002659616866580457,0.0015649456841546937,0.002997288584861652,8.511030244018415e-05
255079.33942964362,0.0026601753833342184,0.0015649474617756252,0.0029972920070215985,8.51115035137498e-05
255139.33942964362,0.002660733911772037,0.0015649500321554847,0.0029972969552918326,8.511422281797751e-05
255199.33942964362,0.0026612924402774508,0.0015649538295951643,0.0029973042658386065,8.5119538722936e-05
255259.33942964362,0.0026618509764834743,0.0015649592211356032,0.0029973146450897525,8.513051799621963e-05
255319.33942964362,0.0026624094668049403,0.0015649663190350589,0.002997328309933169,8.513965240487722e-05
255379.33942964362,0.0026629680141721703,0.0015649749626905395,0.002997344949391602,8.516202157706232e-05
255439.33942964362,0.0026635265551649724,0.0015649876224606589,0.0029973693209203295,8.521260917229365e-05
255499.33942964362,0.002664085085969456,0.0015650042097797353,0.0029974012533773675,8.528074401711281e-05
255559.33942964362,0.0026646436120956155,0.001565025483831221,0.002997442208512052,8.538095108305283e-05
255619.33942964362,0.0026652021446193232,0.0015650523705517724,0.002997493968278762,8.55349126956855e-05
255679.33942964362,0.002665760690715559,0.0015650874498399471,0.002997561498568444,8.581686262033408e-05
255713.43345183405,0.0026660780900257582,0.0015651134676259188,0.0029976115836799593,8.612396082248371e-05
255713.43345183408,0.0026660780900257582,0.0015651134676259188,0.0029976115836799593,8.612396082248371e-05
255773.43345183405,0.002666764094307125,0.001565117890150962,0.002997619951307927,8.511674479040902e-05
255833.43345183405,0.0026674511353129474,0.0015651207507886922,0.0029976253638365866,8.511286558633329e-05
255893.43345183405,0.0026681382127660483,0.0015651228020213334,0.002997629244865276,8.511114972826427e-05
255953.43345183405,0.0026688253178512207,0.0015651242152367566,0.0029976319186983368,8.510992107973637e-05
256013.43345183405,0.002669512416861524,0.0015651251877282658,0.002997633758688804,8.510976193162925e-05
256073.43345183405,0.002670199550250022,0.0015651259943790952,0.0029976352848605178,8.510946175201794e-05
256133.43345183405,0.002670886692832422,0.0015651265280422905,0.0029976362945459876,8.51093333781022e-05
256193.43345183405,0.0026715738484934934,0.001565126882834787,0.002997636965804337,8.510926124851126e-05
256253.43345183405,0.002672261002277744,0.001565127113037028,0.0029976374013420287,8.510923464853116e-05
256313.43345183405,0.0026729481609534104,0.0015651272659108215,0.0029976376905748647,8.510922230016184e-05
256373.43345183405,0.0026736353359484064,0.0015651273577066529,0.0029976378642481917,8.510921580435685e-05
256433.43345183405,0.0026743225233096793,0.0015651273969294012,0.002997637938455456,8.510921374461679e-05
256493.43345183405,0.0026750096877420962,0.0015651274147736836,0.0029976379722162394,8.510921349164475e-05
256553.43345183405,0.0026756968775486748,0.001565127420485187,0.0029976379830220588,8.510921341730277e-05
256613.43345183405,0.00267638405711861,0.001565127421718421,0.002997637985355276,8.510921341313805e-05
