Time [h],Silicon Avg J [A/m2] (V_si=0.001),Silicon Avg J [A/m2] (V_si=0.04),Silicon Avg J [A/m2] (V_si=0.1)
2.14629,,4.48598,1.82509
2.1523,,4.48635,1.82515
2.15832,,4.48725,1.82526
2.16433,,4.48853,1.82541
2.17034,,4.4899,1.8256
2.17635,,4.49115,1.82583
2.18236,,4.49209,1.8261
2.18838,,4.49261,1.8264
2.19439,,4.49264,1.82674
2.2004,,4.49221,1.82711
2.20641,,4.49192,1.82752
2.21242,,4.49293,1.82796
2.21844,,4.49642,1.82843
2.22445,,4.50233,1.82892
2.23046,,4.50937,1.82945
2.23647,,4.51581,1.83001
2.24248,,4.52048,1.83059
2.2485,,4.523,1.83119
2.25451,,4.52301,1.83181
2.26052,,4.52022,1.83246
2.26653,,4.51442,1.83313
2.27255,,4.50528,1.83381
2.27414,,4.50232,
2.27856,,,1.83451
2.28457,,,1.83522
2.29058,,,1.83595
2.29659,,,1.83669
2.30261,,,1.83744
2.30862,,,1.8382
2.31463,,,1.83896
2.32064,,,1.83974
2.32665,,,1.84051
2.33267,,,1.8413
2.33868,,,1.84209
2.34469,,,1.84288
2.3507,,,1.84368
2.35671,,,1.84448
2.36273,,,1.84528
2.36874,,,1.84608
2.37475,,,1.84687
2.38076,,,1.84766
2.38677,,,1.84845
2.39279,,,1.84923
2.3988,,,1.85001
2.40481,,,1.85078
2.41082,,,1.85154
2.41683,,,1.85231
2.42285,,,1.85306
2.42389,,,1.85319
2.42394,,,1.8532
