Time [h],Silicon Avg Vol J [A/m3] (V_si=0.001),Silicon Avg Vol J [A/m3] (V_si=0.04),Silicon Avg Vol J [A/m3] (V_si=0.1)
1.50301,2973,71901,122621
1.50902,3761.76,79948.4,129461
1.51503,4868.17,89044.4,136783
1.52104,6417.63,98936.8,144438
1.52705,8591.8,109355,152297
1.53307,11660.5,120016,160158
1.53908,16026.1,130712,167908
1.54509,22116.9,141204,175404
1.5511,29763.4,151376,182615
1.55711,37274.9,161087,189450
1.56313,42306.7,170297,195928
1.56914,44680.4,178939,202000
1.57515,46262.2,187028,207704
1.58116,48842.4,194542,213015
1.58717,53528.4,201518,217980
1.59319,60504.1,207949,222588
1.5992,68270.2,213869,226887
1.60521,73733.2,219280,230871
1.61122,76750.3,224216,234584
1.61723,79848.5,228671,238024
1.62214,82135,,
1.62325,,232705,241230
1.62926,,236311,244200
1.63527,,239534,246969
1.64128,,242376,249533
1.64729,,244878,251924
1.65331,,247047,254138
1.65932,,248919,256200
1.66533,,250504,258100
1.67134,,251834,259870
1.67735,,252923,261505
1.68337,,253799,263026
1.68938,,254474,264427
1.69539,,254979,265729
1.7014,,255327,266923
1.70741,,255543,268029
1.71343,,255644,269038
1.71944,,255646,269968
1.72545,,255568,270813
1.73146,,255425,271587
1.73747,,255235,272285
1.74349,,255007,272919
1.7495,,254759,273487
1.75551,,254498,273997
1.76152,,254239,274449
1.76754,,253987,274842
1.77355,,253755,275192
1.77956,,253545,275488
1.78557,,253371,275748
1.79158,,253227,275960
1.7976,,253127,276138
1.80361,,253062,276278
1.80962,,253046,276387
1.81563,,253071,276461
1.82164,,253142,276510
1.82766,,253257,276528
1.83367,,253416,276524
1.83968,,253617,276495
1.84569,,253858,276447
1.8517,,254139,276376
1.85772,,254455,276291
1.86373,,254802,276187
1.86974,,255180,276070
1.87575,,255582,275938
1.88176,,256009,275796
1.88778,,256455,275641
1.89379,,256918,275480
1.8998,,257393,275308
1.90581,,257880,275132
1.91182,,258372,274948
1.91784,,258869,274761
1.92385,,259363,274568
1.92986,,259856,274375
1.93587,,260340,274178
1.94188,,260817,273982
1.9479,,261280,273784
1.95391,,261731,273589
1.95992,,262162,273393
1.96593,,262578,273200
1.97194,,262974,273009
1.97796,,263348,272823
1.98397,,263700,272638
1.98998,,264029,272460
1.99599,,264332,272284
2.002,,264613,272116
2.00802,,264866,271951
2.01403,,265097,271794
2.02004,,265299,271641
2.02605,,265480,271497
2.03206,,265632,271358
2.03808,,265764,271228
2.04409,,265868,271103
2.0501,,265959,270988
2.05611,,266016,270878
2.06212,,266059,270777
2.06814,,266084,270683
2.07415,,266092,270598
2.08016,,266084,270519
2.08617,,266063,270449
2.09218,,266030,270386
2.0982,,265988,270333
2.10421,,265940,270285
2.11022,,265888,270247
2.11623,,265831,270214
2.12224,,265773,270190
2.12826,,265715,270172
2.13427,,265664,270162
2.14028,,265627,270158
2.14629,,265617,270162
2.1523,,265639,270170
2.15832,,265693,270187
2.16433,,265768,270208
2.17034,,265850,270237
2.17635,,265923,270270
2.18236,,265979,270311
2.18838,,266010,270355
2.19439,,266011,270406
2.2004,,265986,270461
2.20641,,265969,270521
2.21242,,266029,270586
2.21844,,266235,270656
2.22445,,266585,270729
2.23046,,267002,270807
2.23647,,267384,270889
2.24248,,267660,270975
2.2485,,267809,271064
2.25451,,267810,271157
2.26052,,267644,271253
2.26653,,267301,271351
2.27255,,266760,271452
2.27414,,266585,
2.27856,,,271556
2.28457,,,271662
2.29058,,,271769
2.29659,,,271878
2.30261,,,271989
2.30862,,,272102
2.31463,,,272215
