Time [s],DFN Voltage [V],SPM Voltage [V],SPMe Voltage [V]
987.2909698996656,3.6052391986501195,3.6370290798394147,3.6084719385084982
999.3311036789298,3.6040825707335937,3.635422507763677,3.606864234973003
1011.3712374581941,3.6028877726396704,3.633748141744948,3.6051887408519994
1023.4113712374583,3.601649663226466,3.6320151778069247,3.6034546508351357
1035.4515050167224,3.600366244358484,3.630236006398839,3.6016743463124827
1047.4916387959868,3.599039764243631,3.628425788651617,3.5998629864398266
1059.531772575251,3.5976785380875254,3.626601752056632,3.59803781899151
1071.571906354515,3.5962984852573827,3.6247822404050956,3.5962171774103813
1083.6120401337794,3.594914099136507,3.62298564228318,3.5944194498178
1095.6521739130435,3.593544523076607,3.62122930232918,3.592661980908347
1107.6923076923078,3.5922045894389028,3.6195285633310226,3.5909601148227024
1119.732441471572,3.5909059441904443,3.617896042839596,3.5893264813447585
1131.772575250836,3.5896569185299105,3.616341206079775,3.587770538138833
1143.8127090301005,3.5884629038178644,3.614870230273658,3.5862984649458998
1155.8528428093646,3.587324797292564,3.6134861534885623,3.5849133010018894
1167.892976588629,3.5862422966058283,3.612189219604068,3.5836152908411796
1179.933110367893,3.585213988259669,3.6109773519715977,3.5824023588289187
1191.9732441471572,3.584235906549652,3.60984668420702,3.581270639393723
1204.0133779264215,3.5833048065657964,3.6087920733875034,3.5802149878034024
1216.0535117056857,3.5824167895377004,3.607807579408345,3.5792294635027138
1228.09364548495,3.5815686067769334,3.6068868648010803,3.578307728786756
1240.1337792642141,3.580756894965151,3.6060235119693473,3.5774433658013356
1252.1739130434783,3.5799786780107965,3.605211261204907,3.5766301146589976
1264.2140468227426,3.579231377541171,3.604444177258238,3.5758620399239343
1276.2541806020067,3.5785126191111423,3.603716755399907,3.575133636712346
1288.294314381271,3.577820465146166,3.603023979864483,3.57443988913891
1300.3344481605352,3.5771535166102035,3.6023613461459503,3.5737762928543044
1312.3745819397993,3.576509848424905,3.6017248544404152,3.5731388500305235
1324.4147157190637,3.575888849028456,3.6011110012920295,3.572524052925993
1336.4548494983278,3.5752894984088517,3.6005167355742245,3.571928852312731
1348.4949832775922,3.5747099815594,3.599939426065922,3.571350617019287
1360.5351170568563,3.5741504962196937,3.599376822157708,3.5707870965010304
1372.5752508361204,3.573608354774769,3.5988270146210053,3.5702363816077485
1384.6153846153848,3.573081745391894,3.5982883979866336,3.5696968669608284
1396.6555183946489,3.572568804825002,3.5977596354483516,3.569167215855611
1408.6956521739132,3.5720655439328337,3.5972396267541993,3.5686463281517486
1420.7357859531774,3.5715712613357793,3.596727479234225,3.5681333113001212
