Time [h],Silicon Conc_norm (V_si=0.001),Silicon Conc_norm (V_si=0.04),Silicon Conc_norm (V_si=0.1)
2.03206,,0.356764,0.6755
2.03808,,0.349617,0.672581
2.04409,,0.342467,0.669664
2.0501,,0.335315,0.666748
2.05611,,0.328161,0.663834
2.06212,,0.321005,0.66092
2.06814,,0.313849,0.658008
2.07415,,0.306692,0.655096
2.08016,,0.299535,0.652185
2.08617,,0.292378,0.649276
2.09218,,0.285223,0.646366
2.0982,,0.278068,0.643458
2.10421,,0.270914,0.64055
2.11022,,0.263762,0.637642
2.11623,,0.256612,0.634735
2.12224,,0.249463,0.631828
2.12826,,0.242315,0.628921
2.13427,,0.235169,0.626015
2.14028,,0.228024,0.623108
2.14629,,0.22088,0.620202
2.1523,,0.213735,0.617295
2.15832,,0.20659,0.614388
2.16433,,0.199443,0.611481
2.17034,,0.192293,0.608574
2.17635,,0.185142,0.605666
2.18236,,0.177989,0.602758
2.18838,,0.170834,0.59985
2.19439,,0.163679,0.596941
2.2004,,0.156525,0.594031
2.20641,,0.149371,0.591121
2.21242,,0.142217,0.58821
2.21844,,0.135059,0.585298
2.22445,,0.127893,0.582386
2.23046,,0.120717,0.579472
2.23647,,0.11353,0.576558
2.24248,,0.106334,0.573643
2.2485,,0.0991332,0.570727
2.25451,,0.0919299,0.56781
2.26052,,0.0847289,0.564892
2.26653,,0.0775346,0.561973
2.27255,,0.0703523,0.559053
2.27414,,0.0684444,
2.27856,,,0.556132
2.28457,,,0.55321
2.29058,,,0.550286
2.29659,,,0.547362
2.30261,,,0.544436
2.30862,,,0.541509
2.31463,,,0.53858
2.32064,,,0.535651
2.32665,,,0.53272
2.33267,,,0.529788
2.33868,,,0.526855
2.34469,,,0.523921
2.3507,,,0.520985
2.35671,,,0.518048
2.36273,,,0.51511
2.36874,,,0.512171
2.37475,,,0.50923
2.38076,,,0.506288
2.38677,,,0.503345
2.39279,,,0.5004
2.3988,,,0.497455
2.40481,,,0.494508
2.41082,,,0.49156
2.41683,,,0.488611
2.42285,,,0.48566
2.42389,,,0.485149
2.42394,,,0.485124
