Time [h],Silicon OCP [V] (V_si=0.001),Silicon OCP [V] (V_si=0.04),Silicon OCP [V] (V_si=0.1)
1.18437,0.19369,0.195577,0.198446
1.19038,0.194329,0.196229,0.199111
1.19639,0.194978,0.196891,0.199786
1.2024,0.195636,0.197561,0.200469
1.20842,0.196305,0.198242,0.201163
1.21443,0.196984,0.198933,0.201866
1.22044,0.197675,0.199636,0.202578
1.22645,0.198377,0.200349,0.203302
1.23246,0.199091,0.201075,0.204035
1.23848,0.199818,0.201813,0.20478
1.24449,0.200558,0.202564,0.205533
1.2505,0.201312,0.203328,0.206297
1.25651,0.202082,0.204107,0.207071
1.26253,0.202866,0.204899,0.207855
1.26854,0.203667,0.205705,0.208649
1.27455,0.204484,0.206525,0.209451
1.28056,0.205318,0.20736,0.210263
1.28657,0.206169,0.208208,0.211082
1.29259,0.207038,0.209069,0.211911
1.2986,0.207924,0.209944,0.212745
1.30461,0.208827,0.210831,0.213589
1.31062,0.209747,0.21173,0.214438
1.31663,0.210682,0.212639,0.215296
1.32265,0.211634,0.213559,0.216158
1.32866,0.2126,0.214492,0.217028
1.33467,0.21358,0.215435,0.217901
1.34068,0.214578,0.216391,0.218778
1.34669,0.21559,0.217355,0.219658
1.35271,0.216619,0.21833,0.220537
1.35872,0.217661,0.21931,0.221413
1.36473,0.218718,0.220295,0.222284
1.37074,0.219783,0.221279,0.223148
1.37675,0.220852,0.222259,0.224005
1.38277,0.22192,0.223231,0.224853
1.38878,0.222983,0.224196,0.225693
1.39479,0.224037,0.225151,0.226524
1.4008,0.225082,0.226098,0.227346
1.40681,0.226118,0.227034,0.228161
1.41283,0.227144,0.227963,0.228969
1.41884,0.228162,0.228883,0.22977
1.42485,0.229175,0.229799,0.230567
1.43086,0.230184,0.230712,0.231359
1.43687,0.231195,0.231624,0.232151
1.44289,0.23221,0.232537,0.232941
1.4489,0.233236,0.233457,0.233734
1.45491,0.234279,0.234385,0.234528
1.46092,0.235348,0.235327,0.235328
1.46693,0.236452,0.236289,0.236134
1.47295,0.237608,0.237275,0.23695
1.47896,0.238835,0.238295,0.237778
1.48497,0.240165,0.23936,0.238622
1.49098,0.241638,0.240479,0.239484
1.49699,0.243307,0.241666,0.240367
1.50301,0.24524,0.242929,0.241273
1.50902,0.247508,0.244278,0.242204
1.51503,0.250182,0.24571,0.243158
1.52104,0.253307,0.247225,0.244137
1.52705,0.2569,0.248807,0.245135
1.53307,0.260939,0.250444,0.24615
1.53908,0.265446,0.252109,0.247177
1.54509,0.270774,0.253787,0.248211
1.5511,0.278205,0.255454,0.249245
1.55711,0.290273,0.257097,0.250278
1.56313,0.309026,0.2587,0.251301
1.56914,0.3337,0.260257,0.252313
1.57515,0.361865,0.261765,0.253309
1.58116,0.391616,0.263225,0.254288
1.58717,0.422172,0.264641,0.255245
1.59319,0.454049,0.266025,0.25618
1.5992,0.489936,0.267386,0.257092
1.60521,0.535621,0.26874,0.25798
1.61122,0.599729,0.2701,0.258843
1.61723,0.698289,0.271484,0.259683
1.62214,0.830008,,
1.62325,,0.272906,0.260499
1.62926,,0.274383,0.261293
1.63527,,0.275928,0.262065
1.64128,,0.277556,0.262817
1.64729,,0.279277,0.263551
1.65331,,0.281103,0.264267
1.65932,,0.28304,0.264969
1.66533,,0.285097,0.265657
1.67134,,0.287278,0.266334
1.67735,,0.289586,0.267001
1.68337,,0.292022,0.267661
1.68938,,0.294587,0.268316
1.69539,,0.297278,0.268966
1.7014,,0.300094,0.269615
1.70741,,0.303028,0.270264
1.71343,,0.306078,0.270916
1.71944,,0.309237,0.271571
1.72545,,0.312499,0.272231
1.73146,,0.315856,0.272898
1.73747,,0.319302,0.273574
1.74349,,0.322828,0.27426
1.7495,,0.326428,0.274958
1.75551,,0.330093,0.275668
1.76152,,0.333815,0.276392
1.76754,,0.337587,0.277131
1.77355,,0.341402,0.277886
1.77956,,0.345251,0.278658
1.78557,,0.349129,0.279448
1.79158,,0.353028,0.280257
1.7976,,0.356943,0.281085
1.80361,,0.360867,0.281932
1.80962,,0.364796,0.282801
1.81563,,0.368723,0.28369
1.82164,,0.372644,0.2846
1.82766,,0.376554,0.285533
1.83367,,0.380451,0.286487
1.83968,,0.384329,0.287463
1.84569,,0.388187,0.288462
1.8517,,0.392021,0.289484
1.85772,,0.395828,0.290527
1.86373,,0.399608,0.291594
1.86974,,0.403359,0.292683
1.87575,,0.407078,0.293794
1.88176,,0.410767,0.294927
1.88778,,0.414424,0.296083
1.89379,,0.41805,0.29726
1.8998,,0.421646,0.298459
1.90581,,0.425212,0.29968
1.91182,,0.42875,0.300921
1.91784,,0.432262,0.302183
1.92385,,0.435751,0.303465
1.92986,,0.439218,0.304768
1.93587,,0.442666,0.30609
1.94188,,0.4461,0.307431
