Time [h],Graphite Avg J [A/m2] (V_si=0.001),Graphite Avg J [A/m2] (V_si=0.04),Graphite Avg J [A/m2] (V_si=0.1)
1.17234,0.743972,0.735989,0.716176
1.17836,0.74395,0.735144,0.713929
1.18437,0.74393,0.734281,0.7116
1.19038,0.743907,0.733385,0.709153
1.19639,0.743887,0.73246,0.706607
1.2024,0.743862,0.731491,0.703931
1.20842,0.743841,0.730481,0.701149
1.21443,0.743814,0.729412,0.698231
1.22044,0.74379,0.728299,0.695203
1.22645,0.743761,0.727107,0.692042
1.23246,0.743742,0.725871,0.688777
1.23848,0.743701,0.72455,0.685398
1.24449,0.743679,0.72318,0.681924
1.2505,0.743635,0.721723,0.678366
1.25651,0.743608,0.720217,0.67475
1.26253,0.74356,0.718633,0.671087
1.26854,0.743528,0.717002,0.667401
1.27455,0.743476,0.71531,0.663689
1.28056,0.743438,0.713584,0.659962
1.28657,0.743385,0.71182,0.656206
1.29259,0.74334,0.710031,0.652412
1.2986,0.743287,0.708214,0.648548
1.30461,0.743237,0.706371,0.644616
1.31062,0.743183,0.704486,0.640605
1.31663,0.743133,0.70255,0.636542
1.32265,0.743075,0.700552,0.632439
1.32866,0.743018,0.698495,0.628343
1.33467,0.742959,0.696382,0.624285
1.34068,0.742897,0.694235,0.620362
1.34669,0.742833,0.692066,0.616756
1.35271,0.742768,0.689924,0.613633
1.35872,0.742701,0.687887,0.611032
1.36473,0.742635,0.686093,0.608862
1.37074,0.742575,0.684598,0.607007
1.37675,0.742525,0.683362,0.605379
1.38277,0.742482,0.682309,0.603888
1.38878,0.742447,0.681381,0.602463
1.39479,0.742416,0.680518,0.601017
1.4008,0.742388,0.679668,0.599471
1.40681,0.742359,0.678767,0.597736
1.41283,0.742329,0.677758,0.595741
1.41884,0.742293,0.676574,0.593396
1.42485,0.742252,0.67516,0.590644
1.43086,0.742199,0.673445,0.587391
1.43687,0.742134,0.67137,0.583584
1.44289,0.742054,0.668855,0.579125
1.4489,0.741955,0.665811,0.573944
1.45491,0.741827,0.662128,0.567925
1.46092,0.741669,0.657674,0.560969
1.46693,0.741461,0.652269,0.552945
1.47295,0.741195,0.645657,0.543706
1.47896,0.740824,0.637446,0.533007
1.48497,0.740315,0.627182,0.520615
1.49098,0.739594,0.614411,0.506326
1.49699,0.738574,0.598783,0.490091
1.50301,0.737118,0.580064,0.47196
1.50902,0.735059,0.55823,0.452167
1.51503,0.732177,0.533554,0.430976
1.52104,0.728137,0.506715,0.408823
1.52705,0.722469,0.478452,0.386083
1.53307,0.714469,0.449529,0.363334
1.53908,0.703088,0.420516,0.340907
1.54509,0.687209,0.392048,0.319215
1.5511,0.667274,0.36445,0.298349
1.55711,0.647691,0.338107,0.278568
1.56313,0.634573,0.313121,0.259821
1.56914,0.628384,0.289675,0.242251
1.57515,0.624261,0.26773,0.225745
1.58116,0.617534,0.247343,0.210376
1.58717,0.605317,0.228418,0.196007
1.59319,0.587137,0.210972,0.182673
1.5992,0.566885,0.194909,0.170233
1.60521,0.552653,0.18023,0.158705
1.61122,0.544776,0.166839,0.147959
1.61723,0.536695,0.154753,0.138004
1.62214,0.530805,,
1.62325,,0.143808,0.128726
1.62926,,0.134027,0.120131
1.63527,,0.125282,0.11212
1.64128,,0.117572,0.104698
1.64729,,0.110783,0.0977807
1.65331,,0.104899,0.0913731
1.65932,,0.0998207,0.0854049
1.66533,,0.0955205,0.0799073
1.67134,,0.0919115,0.074785
1.67735,,0.0889571,0.0700532
1.68337,,0.0865806,0.0656528
1.68938,,0.0847472,0.0615988
1.69539,,0.0833816,0.0578289
1.7014,,0.0824346,0.0543751
1.70741,,0.0818491,0.051175
1.71343,,0.0815769,0.0482552
1.71944,,0.0815717,0.0455627
1.72545,,0.0817807,0.0431189
1.73146,,0.0821697,0.0408788
1.73747,,0.0826856,0.0388594
1.74349,,0.0833045,0.0370227
1.7495,,0.0839762,0.0353813
1.75551,,0.0846849,0.0339036
1.76152,,0.0853862,0.0326061
1.76754,,0.0860701,0.0314584
1.77355,,0.0867001,0.030457
1.77956,,0.0872701,0.029587
1.78557,,0.0877522,0.028847
1.79158,,0.0881334,0.0282218
1.7976,,0.0884159,0.027711
1.80361,,0.0885798,0.0273036
1.80962,,0.0886321,0.0269935
1.81563,,0.0885578,0.0267731
1.82164,,0.0883681,0.026638
1.82766,,0.0880518,0.0265795
1.83367,,0.0876234,0.0265952
1.83968,,0.087074,0.0266757
1.84569,,0.0864214,0.02682
1.8517,,0.0856586,0.0270184
1.85772,,0.084802,0.027271
1.86373,,0.0838604,0.027568
1.86974,,0.0828351,0.0279103
1.87575,,0.0817437,0.028288
1.88176,,0.0805845,0.028703
1.88778,,0.0793776,0.0291453
1.89379,,0.0781187,0.0296174
1.8998,,0.0768309,0.0301094
1.90581,,0.0755085,0.0306245
1.91182,,0.074176,0.0311528
1.91784,,0.0728275,0.0316979
1.92385,,0.0714871,0.0322504
1.92986,,0.0701491,0.0328139
1.93587,,0.0688361,0.0333795
1.94188,,0.0675419,0.033951
1.9479,,0.066287,0.0345198
1.95391,,0.0650653,0.03509
1.95992,,0.0638929,0.0356532
1.96593,,0.0627704,0.0362138
1.97194,,0.0616913,0.0367637
1.97796,,0.060681,0.0373073
1.98397,,0.0597213,0.0378371
1.98998,,0.0588355,0.0383574
1.99599,,0.0580057,0.0388611
2.002,,0.0572521,0.0393526
2.00802,,0.0565575,0.0398253
2.01403,,0.0559394,0.0402832
2.02004,,0.0553823,0.0407206
2.02605,,0.0549002,0.0411413
2.03206,,0.054479,0.04154
2.03808,,0.0541289,0.0419205
2.04409,,0.0538376,0.0422779
2.0501,,0.0536125,0.042616
2.05611,,0.0534384,0.0429303
2.06212,,0.05332,0.0432243
2.06814,,0.0532515,0.0434943
2.07415,,0.0532305,0.0437435
2.08016,,0.0532519,0.0439685
2.08617,,0.0533103,0.0441726
2.09218,,0.0534004,0.0443516
2.0982,,0.0535131,0.0445113
2.10421,,0.0536436,0.0446446
2.11022,,0.0537857,0.0447603
2.11623,,0.0539384,0.0448511
2.12224,,0.0540958,0.0449239
2.12826,,0.0542521,0.0449734
2.13427,,0.0543913,0.0450049
2.14028,,0.0544911,0.0450146
2.14629,,0.054519,0.0450065
2.1523,,0.0544592,0.0449782
2.15832,,0.0543146,0.0449323
2.16433,,0.0541084,0.044868
2.17034,,0.0538891,0.0447865
2.17635,,0.0536883,0.0446881
2.18236,,0.0535383,0.0445732
2.18838,,0.0534532,0.0444431
2.19439,,0.0534509,0.044297
2.2004,,0.053518,0.0441373
2.20641,,0.0535686,0.0439624
2.21242,,0.0534026,0.0437753
2.21844,,0.0528445,0.0435737
2.22445,,0.0518924,0.0433614
2.23046,,0.0507629,0.043134
2.23647,,0.0497264,0.0428977
2.24248,,0.0489805,0.0426485
2.2485,,0.0485727,0.0423918
2.25451,,0.0485775,0.0421232
2.26052,,0.0490195,0.0418456
2.26653,,0.0499514,0.0415606
2.27255,,0.0514178,0.0412676
2.27414,,0.0519044,
2.27856,,,0.0409685
2.28457,,,0.0406624
2.29058,,,0.0403514
2.29659,,,0.0400346
2.30261,,,0.039714
2.30862,,,0.0393887
2.31463,,,0.0390607
2.32064,,,0.0387289
2.32665,,,0.0383956
2.33267,,,0.0380594
2.33868,,,0.0377226
2.34469,,,0.0373838
2.3507,,,0.0370419
2.35671,,,0.0366976
2.36273,,,0.036357
2.36874,,,0.0360139
2.37475,,,0.0356757
2.38076,,,0.0353357
2.38677,,,0.0349988
2.39279,,,0.0346631
2.3988,,,0.0343307
2.40481,,,0.0339998
2.41082,,,0.0336718
2.41683,,,0.0333458
2.42285,,,0.0330218
2.42389,,,0.0329659
2.42394,,,0.0329632
