Time [h],Graphite Conc_norm (V_si=0.001),Graphite Conc_norm (V_si=0.04),Graphite Conc_norm (V_si=0.1)
1.67134,,0.0297263,0.0372737
1.67735,,0.0293649,0.0369859
1.68337,,0.0290138,0.0367154
1.68938,,0.0286719,0.0364626
1.69539,,0.0283358,0.036224
1.7014,,0.0280046,0.036001
1.70741,,0.027676,0.0357902
1.71343,,0.0273492,0.0355925
1.71944,,0.0270229,0.0354051
1.72545,,0.026696,0.0352288
1.73146,,0.026368,0.0350609
1.73747,,0.0260381,0.0349023
1.74349,,0.025706,0.0347506
1.7495,,0.0253711,0.0346065
1.75551,,0.0250336,0.034468
1.76152,,0.0246931,0.0343358
1.76754,,0.0243501,0.0342085
1.77355,,0.0240042,0.0340853
1.77956,,0.0236561,0.0339659
1.78557,,0.0233056,0.0338495
1.79158,,0.0229534,0.0337358
1.7976,,0.0226,0.0336243
1.80361,,0.0222458,0.0335146
1.80962,,0.0218912,0.0334062
1.81563,,0.0215367,0.0332988
1.82164,,0.0211828,0.0331921
1.82766,,0.02083,0.0330857
1.83367,,0.0204788,0.0329793
1.83968,,0.0201296,0.0328727
1.84569,,0.019783,0.0327656
1.8517,,0.0194391,0.0326577
1.85772,,0.0190985,0.0325489
1.86373,,0.0187617,0.032439
1.86974,,0.0184287,0.0323277
1.87575,,0.0181002,0.032215
1.88176,,0.017776,0.0321007
1.88778,,0.0174568,0.0319846
1.89379,,0.0171423,0.0318667
1.8998,,0.0168332,0.0317468
1.90581,,0.0165291,0.031625
1.91182,,0.0162305,0.031501
1.91784,,0.0159371,0.0313748
1.92385,,0.0156493,0.0312465
1.92986,,0.0153667,0.0311159
1.93587,,0.0150895,0.030983
1.94188,,0.0148174,0.0308479
1.9479,,0.0145505,0.0307105
1.95391,,0.0142884,0.0305708
1.95992,,0.0140312,0.0304288
1.96593,,0.0137785,0.0302846
1.97194,,0.0135299,0.0301382
1.97796,,0.0132858,0.0299896
1.98397,,0.0130453,0.0298389
1.98998,,0.0128087,0.0296861
1.99599,,0.0125752,0.0295312
2.002,,0.0123451,0.0293743
2.00802,,0.0121177,0.0292156
2.01403,,0.011893,0.029055
2.02004,,0.0116706,0.0288926
2.02605,,0.0114502,0.0287285
2.03206,,0.0112316,0.0285627
2.03808,,0.0110145,0.0283955
2.04409,,0.0107986,0.0282268
2.0501,,0.0105838,0.0280567
2.05611,,0.0103697,0.0278853
2.06212,,0.0101562,0.0277127
2.06814,,0.00994297,0.027539
2.07415,,0.00972995,0.0273643
2.08016,,0.00951692,0.0271886
2.08617,,0.00930372,0.0270121
2.09218,,0.00909023,0.0268348
2.0982,,0.00887631,0.0266569
2.10421,,0.00866192,0.0264784
2.11022,,0.00844696,0.0262994
2.11623,,0.00823144,0.02612
2.12224,,0.00801526,0.0259403
2.12826,,0.00779849,0.0257604
2.13427,,0.00758109,0.0255803
2.14028,,0.00736324,0.0254002
2.14629,,0.00714512,0.0252201
2.1523,,0.00692708,0.0250401
2.15832,,0.00670947,0.0248603
2.16433,,0.00649256,0.0246807
