Throughput capacity [A.h],Loss of lithium inventory [%],Loss of active material in negative electrode [%],Loss of active material in positive electrode [%]
2.0691700336392476,0.0658622568476801,4.811115161373891e-05,5.121125354889955e-07
2.110836700305913,0.06581315984038838,4.925111718989683e-05,5.121125354889955e-07
2.152503366972579,0.06581911536494545,5.04002288579386e-05,5.121125354889955e-07
2.1941700336392476,0.06593830839517523,5.1558919182070895e-05,5.121125354889955e-07
2.2358367003059127,0.06605659502633898,5.272909476161658e-05,5.121125354889955e-07
2.2775033669725784,0.06626124587506865,5.3901553926039014e-05,5.121125354889955e-07
2.319170033639245,0.06648451839440384,5.508572510848353e-05,5.121125354889955e-07
2.3608367003059114,0.06668675479801323,5.627626370596772e-05,5.121125354889955e-07
2.402503366972577,0.06687722645440886,5.74783009597013e-05,5.121125354889955e-07
2.4441700336392453,0.06713741401458151,5.8686473863645006e-05,5.121125354889955e-07
2.485836700305914,0.06737013462188202,5.989589490695835e-05,5.121125354889955e-07
2.527503366972581,0.0675370610213406,6.111956190579804e-05,5.121125354889955e-07
2.5691700336392453,0.0677968448117241,6.235223652595323e-05,5.121125354889955e-07
2.6108367003059105,0.0679350928358815,6.358889355340125e-05,5.121125354889955e-07
2.6525033669725806,0.06806755332613079,6.483640919441314e-05,5.121125354889955e-07
2.694170033639248,0.06836210154257572,6.609971626403421e-05,5.121125354889955e-07
2.735836700305922,0.0685290396960454,6.736411440044776e-05,5.121125354889955e-07
2.7775033669725957,0.0687777023471341,6.863744761176349e-05,5.121125354889955e-07
2.8191700336392698,0.06878954454646191,6.991697070191094e-05,5.121125354889955e-07
2.8608367003059434,0.06901817452833825,7.121043014990391e-05,5.121125354889955e-07
2.9025033669726175,0.06912280696259643,7.251219940940246e-05,5.121125354889955e-07
2.944170033639291,0.0692646850507117,7.38179480066492e-05,5.121125354889955e-07
2.9858367003059603,0.06930424264247392,7.513329290986803e-05,5.121125354889955e-07
3.027503366972631,0.06923144808095572,7.645545859702452e-05,5.121125354889955e-07
3.069170033639301,0.06918736727826058,7.779231640370199e-05,5.121125354889955e-07
3.110836700305971,0.06907524876606885,7.915383312706581e-05,5.121125354889955e-07
3.1525033669726414,0.06893689023851834,8.05229205411706e-05,5.121125354889955e-07
3.194170033639306,0.06862918488421599,8.189820376003354e-05,5.121125354889955e-07
3.235836700305972,0.06840483282489629,8.328585646211195e-05,5.121125354889955e-07
3.27750336697264,0.06808964391117911,8.469358364493473e-05,5.121125354889955e-07
